手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
Apple iPhone 8 Plus 128GB,18990,17300.0,2019/09,9,A11 Bionic,,64 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,202 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8_plus/15170
Apple iPhone SE (2020) 256GB,18100,,2020/04,2,A13 Bionic,,256 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_se_2020/15378
Apple iPhone XS 256GB,24700,17492.0,2018/09,21,A12 Bionic,,256 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,177 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs/14166
Apple iPhone XS Max 256GB,28800,20386.0,2018/09,21,A12 Bionic,,256 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,208 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs_max/14167
Apple iPhone 8 Plus 256GB,20850,11830.0,2017/09,33,A11 Bionic,,256 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,202 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8_plus/13507
Apple iPhone 11 Pro Max 512GB,44300,38500.0,2019/09,9,A13 Bionic,,512 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,226 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro_max/15154
Apple iPhone 8 128GB,15300,11800.0,2019/09,9,A11 Bionic,,64 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8/15169
Apple iPhone 7 Plus 32GB,12490,7975.0,2016/09,45,A10 Fusion,,32 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,188 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_7_plus/12762
Apple iPhone XR 256GB,20300,16000.0,2018/10,20,A12 Bionic,,256 GB,,,,6.1 inch,1792x828 pixels,324 ppi,LCD,1200 萬畫素,1.8,194 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_xr/14170
Apple iPhone 11 Pro Max 64GB,34000,31400.0,2019/09,9,A13 Bionic,,64 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,226 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro_max/15159
Apple iPhone 7 32GB,9990,5124.0,2016/09,45,A10 Fusion,,32 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,138 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_7/12759
Apple iPhone 8 256GB,17000,9966.0,2017/09,33,A11 Bionic,,256 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8/13506
Apple iPhone 11 Pro 512GB,40500,41000.0,2019/09,9,A13 Bionic,,512 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,188 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro/15153
Apple iPhone XS 512GB,28790,,2018/09,21,A12 Bionic,,512 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,177 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_xs/14168
