手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
ASUS ZenFone Max Pro ZB602KL 128GB,5800,,2019/02,16.0,Snapdragon 636,22.9,4 GB,128 GB,microSD,2 TB,5000 mAh,6 inch,2160x1080 pixels,402 ppi,IPS,1600 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_m1/14542
SAMSUNG Galaxy A30s,5890,5490.0,2019/10,8.0,Exynos 7904,,4 GB,128 GB,microSD,512 GB,4000 mAh,6.4 inch,1560x720 pixels,268 ppi,Super AMOLED,2500 萬畫素,1.7,169 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a30s/15073
vivo S1,5990,5400.0,2019/08,10.0,Helio P65,,6 GB,128 GB,microSD,256 GB,4500 mAh,6.38 inch,2340x1080 pixels,404 ppi,Super AMOLED,1600 萬畫素,1.78,179 g,,Yes,https://www.sogi.com.tw/products/vivo_s1/14707
小米 紅米 Note 7 128GB,5990,5000.0,2019/04,14.0,Snapdragon 660,29.3,4 GB,128 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.8,186 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_7/14482
ASUS ZenFone Max Pro M2 ZB631KL (6GB/64GB),6200,,2020/06,0.0,Snapdragon 660,29.3,6 GB,64 GB,microSD,2 TB,5000 mAh,6.3 inch,2280x1080 pixels,400 ppi,IPS,1200 萬畫素,1.8,175 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_m2/15420
小米 紅米 Note 8 Pro 64GB,6350,,2019/10,8.0,Helio G90T,,6 GB,64 GB,microSD,256 GB,4500 mAh,6.53 inch,2340x1080 pixels,395 ppi,IPS,6400 萬畫素,1.89,199.8 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8_pro/15105
HUAWEI nova 4e,6400,,2019/04,14.0,Kirin 710,,6 GB,128 GB,microSD,512 GB,3340 mAh,6.15 inch,2312x1080 pixels,415 ppi,IPS,2400 萬畫素,1.8,159 g,,Yes,https://www.sogi.com.tw/products/huawei_nova_4e/14654
realme 5 Pro,6400,,2019/11,7.0,Snapdragon 712,,8 GB,128 GB,microSD,256 GB,4035 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.8,184 g,,Yes,https://www.sogi.com.tw/products/realme_5_pro/15060
OPPO A9 2020 (4GB/128GB),6400,,2019/10,8.0,Snapdragon 665,27.6,4 GB,128 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,,4800 萬畫素,1.7,195 g,,Yes,https://www.sogi.com.tw/products/oppo_a9_2020/15151
Nokia 6.1 Plus,6500,,2018/08,22.0,Snapdragon 636,22.9,4 GB,64 GB,microSD,400 GB,3060 mAh,5.8 inch,2280x1080 pixels,435 ppi,,1600 萬畫素,2.0,151 g,,Yes,https://www.sogi.com.tw/products/nokia_6_1_plus/14026
SAMSUNG Galaxy A7 (2018),6500,5200.0,2018/10,20.0,Exynos 7885,,4 GB,128 GB,microSD,512 GB,3300 mAh,6 inch,2220x1080 pixels,411 ppi,Super AMOLED,2400 萬畫素,1.7,168 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a7_2018/14210
Nokia 8.1,6700,,2018/12,18.0,Snapdragon 710,35.7,4 GB,64 GB,microSD,400 GB,3500 mAh,6.18 inch,2246x1080 pixels,403 ppi,IPS,1200 萬畫素,1.8,180 g,,Yes,https://www.sogi.com.tw/products/nokia_8_1/14366
SAMSUNG Galaxy A60,6800,6433.0,2019/06,12.0,Snapdragon 675,34.5,6 GB,128 GB,microSD,512 GB,3500 mAh,6.3 inch,2340x1080 pixels,409 ppi,PLS,3200 萬畫素,1.7,168 g,,,https://www.sogi.com.tw/products/samsung_galaxy_a60/14781
