手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
小米 小米 8 Pro 螢幕指紋版,13470,,2018/10,20.0,Snapdragon 845,63.7,8 GB,128 GB,,,3000 mAh,6.21 inch,2248x1080 pixels,402 ppi,AMOLED,1200 萬畫素,1.8,177 g,,,https://www.sogi.com.tw/products/xiaomi_8_pro/14192
SAMSUNG Galaxy A80,13500,9763.0,2019/06,12.0,Snapdragon 730,43.0,8 GB,128 GB,,,3700 mAh,6.7 inch,2400x1080 pixels,393 ppi,Super AMOLED,4800 萬畫素,2.0,220 g,,,https://www.sogi.com.tw/products/samsung_galaxy_a80/14738
Apple iPhone 7 Plus 128GB,13890,8250.0,2016/09,45.0,A10 Fusion,50.9,,128 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,188 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_7_plus/12763
Apple iPhone 8 64GB,14290,7844.0,2017/09,33.0,A11 Bionic,77.2,,64 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8/13502
HUAWEI Mate 10,14300,,2017/11,31.0,Kirin 970,40.1,4 GB,64 GB,microSD,256 GB,4000 mAh,5.9 inch,2560x1440 pixels,498 ppi,LCD,2000 萬畫素,1.6,186 g,IP53,Yes,https://www.sogi.com.tw/products/huawei_mate_10/13567
Sony Xperia XZ3,14600,,2018/10,20.0,Snapdragon 845,63.7,6 GB,64 GB,microSD,512 GB,3300 mAh,6 inch,2880x1440 pixels,537 ppi,OLED,1900 萬畫素,2.0,193 g,IP68,,https://www.sogi.com.tw/products/sony_xperia_xz3/14113
Apple iPhone SE (2020) 128GB,14600,13833.0,2020/04,2.0,A13 Bionic,124.1,,128 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_se_2020/15377
SAMSUNG Galaxy Note 10 Lite,14800,,2020/02,4.0,Exynos 9810,59.8,8 GB,128 GB,microSD,1 TB,4500 mAh,6.7 inch,2400x1080 pixels,393 ppi,Super AMOLED,1200 萬畫素,1.7,199 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_note10_lite/15272
LG V30+,14880,,2017/12,30.0,Snapdragon 835,44.7,4 GB,128 GB,microSD,2 TB,3300 mAh,6 inch,2880x1440 pixels,537 ppi,OLED,1600 萬畫素,1.6,158 g,IP68,Yes,https://www.sogi.com.tw/products/lg_v30_plus/13469
LG V40 ThinQ,14900,,2019/01,17.0,Snapdragon 845,63.7,6 GB,128 GB,microSD,2 TB,3300 mAh,6.4 inch,3120x1440 pixels,537 ppi,OLED,1200 萬畫素,1.5,169 g,IP68,Yes,https://www.sogi.com.tw/products/lg_v40_thinq/14263
OPPO Reno2,14990,11650.0,2019/10,8.0,Snapdragon 730G,43.0,8 GB,256 GB,microSD,256 GB,4000 mAh,6.5 inch,2400x1080 pixels,405 ppi,AMOLED,4800 萬畫素,1.7,189 g,,Yes,https://www.sogi.com.tw/products/oppo_reno2/15082
HUAWEI P20,15100,8990.0,2018/05,25.0,Kirin 970,40.1,4 GB,128 GB,,,3400 mAh,5.8 inch,2244x1080 pixels,429 ppi,LCD,2000 萬畫素,1.6,165 g,IP53,,https://www.sogi.com.tw/products/huawei_p20/13824
Apple iPhone 8 128GB,15300,11800.0,2019/09,9.0,A11 Bionic,77.2,,64 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8/15169
HUAWEI Mate 20 Pro,15520,10000.0,2018/10,20.0,Kirin 980,70.6,6 GB,128 GB,nanoSD,256 GB,4200 mAh,6.39 inch,3120x1440 pixels,538 ppi,OLED,4000 萬畫素,1.8,189 g,IP68,,https://www.sogi.com.tw/products/huawei_mate_20_pro/14278
ASUS ZenFone 6 ZS630KL 128GB,15800,10700.0,2019/06,12.0,Snapdragon 855,80.4,6 GB,128 GB,microSD,2 TB,5000 mAh,6.4 inch,2340x1080 pixels,403 ppi,IPS,4800 萬畫素,1.79,190 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_6_zs630kl/14837
vivo NEX 雙螢幕版,16800,,2019/01,17.0,Snapdragon 845,63.7,10 GB,128 GB,,,3500 mAh,6.39 inch,2340x1080 pixels,403 ppi,Super AMOLED,1200 萬畫素,1.79,199.2 g,,,https://www.sogi.com.tw/products/vivo_nex_dualdisplay/14417
Apple iPhone 8 Plus 64GB,16890,10037.0,2017/09,33.0,A11 Bionic,77.2,,64 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,202 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8_plus/13503
ASUS ZenFone 6 ZS630KL 256GB,16900,,2019/06,12.0,Snapdragon 855,80.4,8 GB,256 GB,microSD,2 TB,5000 mAh,6.4 inch,2340x1080 pixels,403 ppi,IPS,4800 萬畫素,1.79,190 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_6_zs630kl/14813
HUAWEI Mate 20 X,16900,,2019/01,17.0,Kirin 980,70.6,6 GB,128 GB,nanoSD,256 GB,5000 mAh,7.2 inch,2244x1080 pixels,346 ppi,OLED,4000 萬畫素,1.8,232 g,IP53,Yes,https://www.sogi.com.tw/products/huawei_mate20_x/14307
SHARP AQUOS R3,16990,18500.0,2019/08,10.0,Snapdragon 855,80.4,6 GB,128 GB,microSD,512 GB,3200 mAh,6.2 inch,3120x1440 pixels,554 ppi,Pro IGZO,1220 萬畫素,1.7,185 g,IP68,Yes,https://www.sogi.com.tw/products/sharp_aquos_r3/14811
ASUS ZenFone 6 ZS630KL 512GB,17000,,2020/01,5.0,Snapdragon 855,80.4,8 GB,512 GB,microSD,2 TB,5000 mAh,6.4 inch,2340x1080 pixels,403 ppi,IPS,4800 萬畫素,1.79,190 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_6_zs630kl/15324
