手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
HTC Desire 19s 32GB,4100,,2019/11,7.0,Helio P22,,3 GB,32 GB,microSD,2 TB,3850 mAh,6.2 inch,1520x720 pixels,271 ppi,Super LCD (SLCD),1300 萬畫素,1.85,170 g,,Yes,https://www.sogi.com.tw/products/htc_desire_19s/15243
vivo Y12,3450,2900.0,2019/11,7.0,Helio P22,,3 GB,64 GB,microSD,256 GB,5000 mAh,6.35 inch,1544x720 pixels,268 ppi,LCD,1300 萬畫素,2.2,190.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y12/14928
vivo V17 Pro,8800,7500.0,2019/11,7.0,Snapdragon 675,34.5,8 GB,128 GB,,,4100 mAh,6.44 inch,2400x1080 pixels,409 ppi,Super AMOLED,4800 萬畫素,1.8,201.8 g,,Yes,https://www.sogi.com.tw/products/vivo_v17_pro/15187
OPPO Reno 10 倍變焦版 (12GB/256GB),22000,16500.0,2019/11,7.0,Snapdragon 855,80.4,12 GB,256 GB,microSD,256 GB,4065 mAh,6.6 inch,2340x1080 pixels,390 ppi,AMOLED,4800 萬畫素,1.7,215 g,,,https://www.sogi.com.tw/products/oppo_reno/15223
realme 5 128GB,4990,4750.0,2019/11,7.0,Snapdragon 665,27.6,4 GB,128 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,LCD,1200 萬畫素,1.8,198 g,,Yes,https://www.sogi.com.tw/products/realme_5/15067
HUAWEI Mate 20 X 5G,24500,19500.0,2019/11,7.0,Kirin 980,70.6,8 GB,256 GB,nanoSD,256 GB,4200 mAh,7.2 inch,2244x1080 pixels,346 ppi,OLED,4000 萬畫素,1.8,233 g,IP53,Yes,https://www.sogi.com.tw/products/huawei_mate_20_x_5g/14796
ASUS ROG Phone II ZS660KL 旗艦版,29500,,2019/11,7.0,Snapdragon 855+,,12 GB,1 TB,,,6000 mAh,6.59 inch,2340x1080 pixels,391 ppi,AMOLED,4800 萬畫素,1.79,240 g,,Yes,https://www.sogi.com.tw/products/asus_rog_phone_2_zs660kl/15123
realme 5 Pro,6400,,2019/11,7.0,Snapdragon 712,,8 GB,128 GB,microSD,256 GB,4035 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.8,184 g,,Yes,https://www.sogi.com.tw/products/realme_5_pro/15060
小米 紅米 Note 8T 32GB,3800,,2019/11,7.0,Snapdragon 665,27.6,3 GB,32 GB,microSD,256 GB,4000 mAh,6.3 inch,2340x1080 pixels,409 ppi,IPS,4800 萬畫素,1.79,199.2 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8t/15236
OPPO A5 2020,4890,4000.0,2019/10,8.0,Snapdragon 665,27.6,4 GB,64 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,,1200 萬畫素,1.7,195 g,,Yes,https://www.sogi.com.tw/products/oppo_a5_2020/15174
Nokia 7.2,7700,,2019/10,8.0,Snapdragon 660,29.3,6 GB,128 GB,microSD,512 GB,3500 mAh,6.3 inch,2280x1080 pixels,400 ppi,IPS,4800 萬畫素,1.79,180 g,,Yes,https://www.sogi.com.tw/products/nokia_7_2/15130
小米 紅米 Note 8 Pro 128GB,7490,,2019/10,8.0,Helio G90T,,6 GB,128 GB,microSD,256 GB,4500 mAh,6.53 inch,2340x1080 pixels,395 ppi,IPS,6400 萬畫素,1.89,199.8 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8_pro/15104
realme XT,7150,6300.0,2019/10,8.0,Snapdragon 712,,8 GB,128 GB,microSD,256 GB,4000 mAh,6.4 inch,2340x1080 pixels,403 ppi,Super AMOLED,6400 萬畫素,1.8,183 g,,Yes,https://www.sogi.com.tw/products/realme_xt/15176
OPPO A9 2020 (4GB/128GB),6400,,2019/10,8.0,Snapdragon 665,27.6,4 GB,128 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,,4800 萬畫素,1.7,195 g,,Yes,https://www.sogi.com.tw/products/oppo_a9_2020/15151
小米 紅米 Note 8 Pro 64GB,6350,,2019/10,8.0,Helio G90T,,6 GB,64 GB,microSD,256 GB,4500 mAh,6.53 inch,2340x1080 pixels,395 ppi,IPS,6400 萬畫素,1.89,199.8 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8_pro/15105
OPPO A9 2020 (8GB/128GB),8100,6990.0,2019/10,8.0,Snapdragon 665,27.6,8 GB,128 GB,microSD,256 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,,4800 萬畫素,1.7,195 g,,Yes,https://www.sogi.com.tw/products/oppo_a9_2020/15118
HTC EXODUS 1s,3990,,2019/10,8.0,Snapdragon 435,,4 GB,64 GB,microSD,400 GB,3075 mAh,5.7 inch,1440x720 pixels,282 ppi,,1300 萬畫素,2.0,,,Yes,https://www.sogi.com.tw/products/htc_exodus_1s/14818
OPPO Reno2,14990,11650.0,2019/10,8.0,Snapdragon 730G,43.0,8 GB,256 GB,microSD,256 GB,4000 mAh,6.5 inch,2400x1080 pixels,405 ppi,AMOLED,4800 萬畫素,1.7,189 g,,Yes,https://www.sogi.com.tw/products/oppo_reno2/15082
Nokia 2720 Flip,2790,,2019/10,8.0,Snapdragon 205,,512 MB,4 GB,microSD,32 GB,1500 mAh,2.8 inch,320x240 pixels,143 ppi,,200 萬畫素,,118 g,,Yes,https://www.sogi.com.tw/products/nokia_2720_flip/15135
Google Pixel 4 XL 128GB,27400,,2019/10,8.0,Snapdragon 855,80.4,6 GB,128 GB,,,3700 mAh,6.3 inch,2960x1440 pixels,522 ppi,OLED,1220 萬畫素,1.7,193 g,IP68,,https://www.sogi.com.tw/products/google_pixel_4_xl/15208
OPPO Reno2 Z,9200,8018.0,2019/10,8.0,Helio P90,,8 GB,128 GB,microSD,256 GB,4000 mAh,6.5 inch,2340x1080 pixels,396 ppi,AMOLED,4800 萬畫素,1.7,195 g,,Yes,https://www.sogi.com.tw/products/oppo_reno2_z/15092
Google Pixel 4 128GB,23600,,2019/10,8.0,Snapdragon 855,80.4,6 GB,128 GB,,,2800 mAh,5.7 inch,2220x1080 pixels,433 ppi,OLED,1220 萬畫素,1.7,162 g,IP68,,https://www.sogi.com.tw/products/google_pixel_4/15206
vivo NEX 3,23200,18630.0,2019/10,8.0,Snapdragon 855+,,8 GB,256 GB,,,4500 mAh,6.89 inch,2256x1080 pixels,363 ppi,Super AMOLED,6400 萬畫素,1.8,218.5 g,,Yes,https://www.sogi.com.tw/products/vivo_nex_3_5g/15122
Google Pixel 4 XL 64GB,25500,16800.0,2019/10,8.0,Snapdragon 855,80.4,6 GB,64 GB,,,3700 mAh,6.3 inch,2960x1440 pixels,522 ppi,OLED,1220 萬畫素,1.7,193 g,IP68,,https://www.sogi.com.tw/products/google_pixel_4_xl/15207
Google Pixel 4 64GB,20600,,2019/10,8.0,Snapdragon 855,80.4,6 GB,64 GB,,,2800 mAh,5.7 inch,2220x1080 pixels,433 ppi,OLED,1220 萬畫素,1.7,162 g,IP68,,https://www.sogi.com.tw/products/google_pixel_4/15205
Sony Xperia 5,18600,,2019/10,8.0,Snapdragon 855,80.4,6 GB,128 GB,microSD,512 GB,3140 mAh,6.1 inch,2520x1080 pixels,449 ppi,OLED,1200 萬畫素,1.6,164 g,IP68,,https://www.sogi.com.tw/products/sony_xperia_5/15128
SAMSUNG Galaxy A30s,5890,5490.0,2019/10,8.0,Exynos 7904,,4 GB,128 GB,microSD,512 GB,4000 mAh,6.4 inch,1560x720 pixels,268 ppi,Super AMOLED,2500 萬畫素,1.7,169 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a30s/15073
Apple iPhone 11 128GB,23500,20676.0,2019/09,9.0,A13 Bionic,124.1,,128 GB,,,,6.1 inch,1792x828 pixels,324 ppi,IPS,1200 萬畫素,1.8,194 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11/15160
Apple iPhone 8 Plus 128GB,18990,17300.0,2019/09,9.0,A11 Bionic,77.2,,64 GB,,,,5.5 inch,1920x1080 pixels,401 ppi,IPS,1200 萬畫素,1.8,202 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8_plus/15170
Apple iPhone 11 256GB,27000,24998.0,2019/09,9.0,A13 Bionic,124.1,,256 GB,,,,6.1 inch,1792x828 pixels,324 ppi,IPS,1200 萬畫素,1.8,194 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11/15152
Apple iPhone 8 128GB,15300,11800.0,2019/09,9.0,A11 Bionic,77.2,,64 GB,,,,4.7 inch,1334x750 pixels,326 ppi,IPS,1200 萬畫素,1.8,148 g,IP67,,https://www.sogi.com.tw/products/apple_iphone_8/15169
